# date, mm
20070101,00010
20070102,00000
20070103,00000
20070104,00000
20070105,00000
20070106,00000
20070107,00000
20070108,00012
20070109,00000
20070110,00022
20070111,00002
20070112,00000
20070113,00000
20070114,00000
20070206,00000
20070207,00002
20070208,00022
20070209,00000
20070210,00000
20070211,00000
20070212,00058
20070213,00000
20070214,00004
20070215,00010
20070216,00000
20070217,00000
20070218,00000
20070219,00000
20070220,00000
20070221,00000
20070222,00000
20070223,00000
20070224,00000
20070225,00034
20070226,00002
20070227,00000
20070228,00000
20070301,00000
20070302,00000
20070303,00000
20070304,00000
20070305,00000
20070306,00064
20070307,00064
20070308,00002
20070309,00000
20070310,00000
20070311,00000
20070312,00000
20070313,00000
20070314,00000
20070315,00000
20070316,00000
20070317,00000
20070318,00000
20070319,00000
20070320,00004
20070321,00000
20070322,00000
20070323,00000
20070324,00000
20070325,00046
20070326,00074
20070327,00028
20070328,00000
20070329,00000
20070330,00000
20070814,00000
20070815,00000
20070816,00000
20070817,00052
20070818,00000
20070819,00004
20070820,00172
20070821,00088
20070822,00082
20070823,00000
20070824,00000
20070825,00000
20070826,00000
20070827,00000
20070828,00000
20070829,00000
20070830,00124
20070831,00200
20070901,00000
20070902,00000
20070903,00000
20070904,00000
20070905,00000
20070906,00008
20070331,00014
20070401,00010
20070402,00000
20070403,00000
20070404,00018
20070405,00000
20070406,00000
20070407,00000
20070408,00000
20070409,00000
20070410,00000
20070411,00000
20070412,00000
20070413,00000
20070414,00000
20070415,00000
20070416,00000
20070417,00000
20070418,00000
20070419,00000
20070420,00000
20070421,00000
20070422,00000
20070423,00000
20070424,00000
20070425,00000
20070426,00000
20070427,00000
20070428,00000
20070429,00000
20070430,00012
20070501,00000
20070502,00272
20070503,00000
20070504,00274
20070505,00038
20070506,00000
20070507,00000
20070508,00000
20070509,00000
20070510,00000
20070511,00000
20070512,00000
20070513,00000
20070514,00000
20070515,00018
20070516,00000
20070517,00000
20070518,00000
20070519,00000
20070520,00000
20070521,00000
20070522,00000
20070523,00000
20070524,00000
20070525,00048
20070526,00014
20070527,00006
20070528,00188
20070529,00004
20070530,00000
20070531,00004
20070601,00146
20070602,00078
20070603,00022
20070604,00000
20070605,00010
20070606,00028
20070607,00106
20070608,00000
20070609,00000
20070610,00000
20070611,00000
20070612,00000
20070613,00020
20070614,00002
20070615,00028
20070616,00000
20070617,00000
20070115,00000
20070116,00012
20070117,00014
20070118,00000
20070119,00000
20070120,00000
20070121,00000
20070122,00048
20070123,00254
20070124,00000
20070125,00048
20070126,00014
20070127,00000
20070128,00000
20070129,00000
20070130,00000
20070131,00000
20070201,00000
20070202,00000
20070203,00000
20070204,00000
20070205,00000
20070618,00000
20070619,00000
20070620,00000
20070621,00000
20070622,00000
20070623,00000
20070624,00000
20070625,00000
20070626,00000
20070627,00000
20070628,00000
20070629,00000
20070630,00000
20070701,00050
20070702,00002
20070703,00000
20070704,00022
20070705,00000
20070706,-9999
20070707,-9999
20070708,-9999
20070709,-9999
20070710,00000
20070711,00000
20070712,00000
20070713,00000
20070714,00000
20070715,00000
20070716,00000
20070717,00000
20070718,00000
20070719,00000
20070720,00000
20070721,00000
20070722,00000
20070723,00000
20070724,00000
20070725,00000
20070726,00000
20070727,00000
20070728,00000
20070729,00000
20070730,00000
20070731,00000
20070801,00000
20070802,00004
20070803,00028
20070804,00000
20070805,00000
20070806,00000
20070807,00000
20070808,00078
20070809,00124
20070810,00000
20070811,00000
20070812,00000
20070813,00000
20070907,00000
20070908,00000
20070909,00000
20070910,00000
20070911,00000
20070912,00000
20070913,00000
20070914,00000
20070915,00000
20070916,00000
20070917,00000
20070918,00000
20070919,00000
20070920,00000
20070921,00000
20070922,00000
20070923,00000
20070924,00046
20070925,00010
20070926,00154
20070927,00000
20070928,00000
20070929,00000
20070930,00082
20071001,00014
20071002,-9999
20071003,-9999
20071004,-9999
20071005,-9999
20071006,-9999
20071007,-9999
20071008,-9999
20071009,-9999
20071010,-9999
20071011,-9999
20071012,-9999
20071013,-9999
20071014,-9999
20071015,-9999
20071016,-9999
20071017,-9999
20071018,-9999
20071019,-9999
20071020,-9999
20071021,-9999
20071022,-9999
20071023,-9999
20071024,-9999
20071025,-9999
20071026,-9999
20071027,-9999
20071028,-9999
20071029,-9999
20071030,-9999
20071031,-9999
20071101,-9999
20071102,00000
20071103,00000
20071104,00000
20071105,00000
20071106,00000
20071107,00000
20071108,00000
20071109,00000
20071110,00006
20071111,00000
20071112,00000
20071113,00000
20071114,00000
20071115,00000
20071116,00000
20071117,00000
20071118,00000
20071119,00000
20071120,00000
20071121,00000
20071122,00022
20071123,00396
20071124,00364
20071125,00104
20071126,00000
20071127,00004
20071128,00000
20071129,00000
20071130,00000
20071201,00000
20071202,00000
20071203,00000
20071204,00000
20071205,00000
20071206,00000
20071207,00000
20071208,00004
20071209,00000
20071210,00002
20071211,00000
20071212,00000
20071213,00000
20071214,00000
20071215,00000
20071216,00000
20071217,00000
20071218,00000
20071219,00000
20071220,00000
20071221,00000
20071222,00000
20071223,00000
20071224,00002
20071225,00000
20071226,00000
20071227,00000
20071228,00000
20071229,00000
20071230,00000
20071231,00000
