#STAID, SOUID,    DATE,   RR, Q_RR
   173,   554,18580101,    0,    0
   173,   554,18580102,    0,    0
   173,   554,18580103,    0,    0
   173,   554,18580104,    0,    0
   173,   554,18580105,   45,    0
   173,   554,18580106,  135,    0
   173,   554,18580107,    0,    0
   173,   554,18580108,    0,    0
   173,   554,18580109,    0,    0
   173,   554,18580110,    0,    0
   173,   554,18580111,    0,    0
   173,   554,18580112,    0,    0
   173,   554,18580113,    0,    0
   173,   554,18580114,    0,    0
   173,   554,18580115,    0,    0
   173,   554,18580116,    0,    0
   173,   554,18580117,    0,    0
   173,   554,18580118,    0,    0
   173,   554,18580119,    0,    0
   173,   554,18580120,    0,    0
   173,   554,18580121,    0,    0
   173,   554,18580122,    0,    0
   173,   554,18580123,    0,    0
   173,   554,18580124,    0,    0
   173,   554,18580125,    0,    0
   173,   554,18580126,    0,    0
   173,   554,18580127,    0,    0
   173,   554,18580128,    0,    0
   173,   554,18580129,    0,    0
   173,   554,18580130,    0,    0
   173,   554,18580131,    0,    0
   173,   554,18580201,    0,    0
   173,   554,18580202,    0,    0
   173,   554,18580203,    0,    0
   173,   554,18580204,    0,    0
   173,   554,18580205,    0,    0
   173,   554,18580206,    0,    0
   173,   554,18580207,    0,    0
   173,   554,18580208,    0,    0
   173,   554,18580209,    0,    0
   173,   554,18580210,    8,    0
   173,   554,18580211,   71,    0
   173,   554,18580212,    0,    0
   173,   554,18580213,    0,    0
   173,   554,18580214,    0,    0
   173,   554,18580215,    0,    0
   173,   554,18580216,    0,    0
   173,   554,18580217,    0,    0
   173,   554,18580218,    0,    0
   173,   554,18580219,    0,    0
   173,   554,18580220,    0,    0
   173,   554,18580221,    0,    0
   173,   554,18580222,    0,    0
   173,   554,18580223,    0,    0
   173,   554,18580224,    0,    0
   173,   554,18580225,    0,    0
   173,   554,18580226,    0,    0
   173,   554,18580227,    0,    0
   173,   554,18580228,    0,    0
   173,   554,18580301,  116,    0
   173,   554,18580302,   19,    0
   173,   554,18580303,  293,    0
   173,   554,18580304,    0,    0
   173,   554,18580305,  117,    0
   173,   554,18580306,    0,    0
   173,   554,18580307,    0,    0
   173,   554,18580308,    0,    0
   173,   554,18580309,    0,    0
   173,   554,18580310,    0,    0
   173,   554,18580311,  117,    0
   173,   554,18580312,    0,    0
   173,   554,18580313,    0,    0
   173,   554,18580314,    0,    0
   173,   554,18580315,    0,    0
   173,   554,18580316,    0,    0
   173,   554,18580317,    0,    0
   173,   554,18580318,    0,    0
   173,   554,18580319,    0,    0
   173,   554,18580320,    0,    0
   173,   554,18580321,    0,    0
   173,   554,18580322,    0,    0
   173,   554,18580323,    0,    0
   173,   554,18580324,    0,    0
   173,   554,18580325,    0,    0
   173,   554,18580326,    0,    0
   173,   554,18580327,    0,    0
   173,   554,18580328,    0,    0
   173,   554,18580329,    0,    0
   173,   554,18580330,    0,    0
   173,   554,18580331,  113,    0
   173,   554,18580401,  384,    0
   173,   554,18580402,    0,    0
   173,   554,18580403,    0,    0
   173,   554,18580404,    0,    0
   173,   554,18580405,  180,    0
   173,   554,18580406,    0,    0
   173,   554,18580407,    0,    0
   173,   554,18580408,   27,    0
   173,   554,18580409,  338,    0
   173,   554,18580410,    0,    0
   173,   554,18580411,    0,    0
   173,   554,18580412,    0,    0
   173,   554,18580413,    3,    0
   173,   554,18580414,    0,    0
   173,   554,18580415,    0,    0
   173,   554,18580416,    0,    0
   173,   554,18580417,    0,    0
   173,   554,18580418,    0,    0
   173,   554,18580419,    0,    0
   173,   554,18580420,    0,    0
   173,   554,18580421,    0,    0
   173,   554,18580422,    0,    0
   173,   554,18580423,    0,    0
   173,   554,18580424,    0,    0
   173,   554,18580425,    0,    0
   173,   554,18580426,   14,    0
   173,   554,18580427,   36,    0
   173,   554,18580428,    0,    0
   173,   554,18580429,    0,    0
   173,   554,18580430,    0,    0
   173,   554,18580501,    0,    0
   173,   554,18580502,    0,    0
   173,   554,18580503,  226,    0
   173,   554,18580504,  158,    0
   173,   554,18580505,    0,    0
   173,   554,18580506,    0,    0
   173,   554,18580507,   23,    0
   173,   554,18580508,  248,    0
   173,   554,18580509,  113,    0
   173,   554,18580510,    0,    0
   173,   554,18580511,    9,    0
   173,   554,18580512,   68,    0
   173,   554,18580513,   90,    0
   173,   554,18580514,    0,    0
   173,   554,18580515,    0,    0
   173,   554,18580516,   18,    0
   173,   554,18580517,    0,    0
   173,   554,18580518,    0,    0
   173,   554,18580519,    0,    0
   173,   554,18580520,    0,    0
   173,   554,18580521,    0,    0
   173,   554,18580522,    0,    0
   173,   554,18580523,   27,    0
